id;Datetime stamp;TAG
200478;2018-08-22 11:34:22;TAG#0
200479;2018-08-22 11:34:23;TAG#0
200480;2018-08-22 11:34:23;TAG#0
200481;2018-08-22 11:34:26;TAG#1
200482;2018-08-22 11:34:27;TAG#1
200483;2018-08-22 11:40:03;TAG#2
200484;2018-08-22 11:45:15;TAG#3
200485;2018-08-22 11:45:16;TAG#3
200486;2018-08-22 11:45:16;TAG#3
200487;2018-08-22 11:45:17;TAG#3
200488;2018-08-22 11:45:17;TAG#3
200489;2018-08-22 11:45:18;TAG#3
200490;2018-08-22 11:45:18;TAG#3
200491;2018-08-22 11:45:19;TAG#3
200492;2018-08-22 11:45:20;TAG#3
200493;2018-08-22 11:45:20;TAG#3
200494;2018-08-22 11:45:21;TAG#3
200495;2018-08-22 11:45:21;TAG#3
200496;2018-08-22 11:45:22;TAG#3
200497;2018-08-22 11:45:23;TAG#3
200498;2018-08-22 11:45:23;TAG#3
200499;2018-08-22 11:45:24;TAG#3
200500;2018-08-22 11:45:24;TAG#3
200501;2018-08-22 11:45:25;TAG#3
200502;2018-08-22 11:45:26;TAG#3
200503;2018-08-22 11:45:26;TAG#3
200504;2018-08-22 11:45:28;TAG#3
200505;2018-08-22 11:45:28;TAG#3
200506;2018-08-22 11:45:29;TAG#3
200507;2018-08-22 11:45:30;TAG#3
200508;2018-08-22 11:45:30;TAG#3
200509;2018-08-22 11:45:31;TAG#3
200510;2018-08-22 11:45:31;TAG#3
200511;2018-08-22 11:45:32;TAG#3
200512;2018-08-22 11:45:33;TAG#3
200513;2018-08-22 11:46:52;TAG#4
200514;2018-08-22 11:46:53;TAG#4
200515;2018-08-22 11:46:53;TAG#4
200516;2018-08-22 11:48:50;TAG#5
200517;2018-08-22 11:48:50;TAG#5
200518;2018-08-22 11:48:51;TAG#5
200519;2018-08-22 11:50:51;TAG#6
200520;2018-08-22 11:50:52;TAG#6
200521;2018-08-22 11:50:52;TAG#6
200522;2018-08-22 11:53:02;TAG#4
200523;2018-08-22 11:53:03;TAG#4
200524;2018-08-22 11:53:03;TAG#4
200525;2018-08-22 11:54:43;TAG#7
200526;2018-08-22 11:54:44;TAG#7
200527;2018-08-22 11:55:07;TAG#8
200528;2018-08-22 11:55:08;TAG#8
200529;2018-08-22 11:55:08;TAG#8
200530;2018-08-22 11:57:19;TAG#8
200531;2018-08-22 11:59:04;TAG#12
200532;2018-08-22 11:59:29;TAG#13
200533;2018-08-22 11:59:29;TAG#13
200534;2018-08-22 11:59:50;TAG#14
200535;2018-08-22 12:01:17;TAG#16
200536;2018-08-22 12:01:18;TAG#16
200537;2018-08-22 12:01:23;TAG#17
200538;2018-08-22 12:01:24;TAG#17
200539;2018-08-22 12:01:36;TAG#18
200540;2018-08-22 12:01:57;TAG#19
200541;2018-08-22 12:01:57;TAG#19
200542;2018-08-22 12:04:38;TAG#20
200543;2018-08-22 12:04:42;TAG#0
200544;2018-08-22 12:04:46;TAG#1
200545;2018-08-22 12:04:46;TAG#1
200546;2018-08-22 12:04:47;TAG#1
200547;2018-08-22 12:06:11;TAG#2
200548;2018-08-22 12:07:50;TAG#3
200549;2018-08-22 12:08:17;TAG#4
200550;2018-08-22 12:08:18;TAG#4
200551;2018-08-22 12:09:38;TAG#5
200552;2018-08-22 12:09:38;TAG#5
200553;2018-08-22 12:09:39;TAG#5
200554;2018-08-22 12:10:47;TAG#6
200555;2018-08-22 12:10:47;TAG#6
200556;2018-08-22 12:10:48;TAG#6
200557;2018-08-22 12:10:49;TAG#6
200558;2018-08-22 12:10:49;TAG#6
200559;2018-08-22 12:10:50;TAG#6
200560;2018-08-22 12:10:51;TAG#6
200561;2018-08-22 12:10:51;TAG#6
200562;2018-08-22 12:10:52;TAG#6
200563;2018-08-22 12:10:52;TAG#6
200564;2018-08-22 12:10:53;TAG#6
200565;2018-08-22 12:10:54;TAG#6
200566;2018-08-22 12:10:54;TAG#6
200567;2018-08-22 12:10:55;TAG#6
200568;2018-08-22 12:10:55;TAG#6
200569;2018-08-22 12:10:56;TAG#6
200570;2018-08-22 12:10:57;TAG#6
200571;2018-08-22 12:10:57;TAG#6
200572;2018-08-22 12:10:58;TAG#6
200573;2018-08-22 12:10:58;TAG#6
200574;2018-08-22 12:10:59;TAG#6
200575;2018-08-22 12:10:59;TAG#6
200576;2018-08-22 12:11:00;TAG#6
200577;2018-08-22 12:11:01;TAG#6
200578;2018-08-22 12:11:01;TAG#6
200579;2018-08-22 12:11:02;TAG#6
200580;2018-08-22 12:11:02;TAG#6
200581;2018-08-22 12:11:03;TAG#6
200582;2018-08-22 12:11:04;TAG#6
200583;2018-08-22 12:11:04;TAG#6
200584;2018-08-22 12:11:05;TAG#6
200585;2018-08-22 12:11:05;TAG#6
200586;2018-08-22 12:11:06;TAG#6
200587;2018-08-22 12:11:06;TAG#6
200588;2018-08-22 12:11:07;TAG#6
200589;2018-08-22 12:11:08;TAG#6
200590;2018-08-22 12:11:08;TAG#6
200591;2018-08-22 12:11:09;TAG#6
200592;2018-08-22 12:12:31;TAG#4
200593;2018-08-22 12:17:08;TAG#12
200594;2018-08-22 12:17:08;TAG#12
200595;2018-08-22 12:18:35;TAG#13
200596;2018-08-22 12:18:55;TAG#14
200597;2018-08-22 12:21:11;TAG#16
200598;2018-08-22 12:21:12;TAG#16
200599;2018-08-22 12:21:12;TAG#16
200600;2018-08-22 12:21:18;TAG#17
200601;2018-08-22 12:21:18;TAG#17
200602;2018-08-22 12:21:30;TAG#18
200603;2018-08-22 12:21:31;TAG#18
200604;2018-08-22 12:21:32;TAG#18
200605;2018-08-22 12:21:32;TAG#18
200606;2018-08-22 12:21:33;TAG#18
200607;2018-08-22 12:21:33;TAG#18
200608;2018-08-22 12:21:34;TAG#18
200609;2018-08-22 12:21:34;TAG#18
200610;2018-08-22 12:21:35;TAG#18
200611;2018-08-22 12:21:36;TAG#18
200612;2018-08-22 12:21:36;TAG#18
200613;2018-08-22 12:21:37;TAG#18
200614;2018-08-22 12:21:37;TAG#18
200615;2018-08-22 12:21:38;TAG#18
200616;2018-08-22 12:21:39;TAG#18
200617;2018-08-22 12:21:39;TAG#18
200618;2018-08-22 12:21:40;TAG#18
